longitude;latitude;code_commune_station;libelle
6.878770829;48.58778894;54211;FREMONVILLE
6.841379117;48.576241088;54044;BARBAS
6.800409068;48.518136023;54377;MONTIGNY
6.624852639;48.580949425;54520;THIEBAUMENIL
6.626501786;48.597116736;54350;MARAINVILLER
6.486773857;48.59488312;54329;LUNEVILLE
6.686053148;48.295896649;88021;AUTREY
6.68683839;48.2947733;88418;SAINTE-HELENE
6.641836883;48.30864227;88418;SAINTE-HELENE
6.645963649;48.324168904;88417;SAINT-GORGON
6.613858407;48.368762829;88402;ROVILLE-AUX-CHENES
6.566798538;48.482588613;54393;MOYEN
6.524472123;48.487067749;54222;GERBEVILLER
6.38394332;48.563224628;54152;DAMELEVIERES
6.71740244;48.68860971;57375;LAGARDE
6.410317707;48.640577052;54145;CREVIC
6.341560051;48.627545396;54159;DOMBASLE-SUR-MEURTHE
6.299660567;48.618909964;54483;SAINT-NICOLAS-DE-PORT
6.272227226;48.642507126;54300;LANEUVEVILLE-DEVANT-NANCY
6.179269355;48.710666956;54339;MALZEVILLE
6.188936846;48.704818753;54339;MALZEVILLE
6.179269355;48.710666956;54339;MALZEVILLE
6.198256179;48.746849788;54305;LAY-SAINT-CHRISTOPHE
6.121750416;48.789667836;54150;CUSTINES
6.077694919;48.863713405;54079;BLENOD-LES-PONT-A-MOUSSON
6.043284328;48.866375747;54279;JEZAINVILLE
6.031705023;48.953801965;54546;VANDIERES
5.961532525;49.012193042;54410;ONVILLE
